team,lat,lng,points
1,19.526462,-99.228966,13422
1,19.525343,-99.227461,10171
1,19.301905,-99.196279,11303
2,19.294396,-99.191932,13886
1,19.301122,-99.193338,2000
1,19.295503,-99.194842,2000
3,19.310859,-99.200496,4000
2,19.502075,-99.19018,2000
1,19.451614,-99.280387,5824
2,19.460711,-99.283223,2000
2,19.459708,-99.284324,4000
2,19.46505,-99.280658,3189
2,19.460848,-99.27834,4000
2,19.465287,-99.277063,7822
3,19.507479,-99.220578,2000
2,19.595064,-99.054609,5500
2,19.384527,-99.181645,4100
2,19.39323,-99.174735,5815
1,19.385452,-99.175334,13242
1,19.385183,-99.168988,4000
1,19.393214,-99.173027,4000
1,19.461208,-99.118215,6000
